evaluations raw_y
1 523.8720232816
2 477.1224767225
3 411.0276125322
8 349.2372031899
39 333.8461446470
40 319.2861031493
51 293.6620773125
53 279.1243657851
65 275.0589634879
77 256.6428905656
87 241.9256891078
99 239.4366557565
100 226.2544353591
105 212.7483664778
106 174.4275375966
114 166.9165965135
116 152.7887832254
127 137.1126296977
157 124.9861558683
158 112.7999240544
174 108.5394810650
175 103.8439574964
185 101.4549166419
193 98.7036121612
198 82.9055977658
217 73.4825383596
230 65.4211987732
240 49.5557031659
245 46.7134371977
250 35.8515133481
253 32.8445493256
255 26.9858894518
269 17.4317649055
270 12.9850664255
282 12.5149339017
331 8.9245636758
337 6.4817123953
343 4.0319361697
356 0.5775822276
401 0.0000000000
200976 123.8391927001
evaluations raw_y
1 423.0711519266
16 399.2667384962
26 359.6243981002
39 344.6835682419
42 338.2051082950
49 331.8975268653
53 297.1548358747
61 291.7083837149
66 271.5588880694
75 263.5246308460
77 262.1026616514
78 225.0687389011
85 193.5651978904
102 159.9866657756
109 155.8456216628
110 135.4301438559
111 118.1045094358
134 118.0390390346
138 98.0679253688
159 82.8777353039
171 74.0104515821
172 39.7091940784
182 24.7127486067
210 21.8484600526
220 7.4247385992
240 3.0874862843
258 2.7125200226
267 0.0000000000
201456 106.5810645960
evaluations raw_y
1 390.2985235926
3 343.8637148116
4 311.0215441079
10 309.4686587970
14 304.4348387166
17 245.4819153719
21 240.6579731567
24 218.1012857440
31 208.3867323701
39 204.6497839110
40 163.4437590813
54 160.9801984902
60 147.7335714878
61 139.9261383285
66 129.9447713170
69 115.6405397991
75 75.6339369249
118 49.9007214462
120 34.7445424385
133 34.1682742895
136 7.4471681636
178 6.0057255403
187 3.6653771942
213 0.0000000000
200856 435.6939808682
evaluations raw_y
1 321.3448459593
8 311.3993012200
10 286.8389931010
13 284.8779772393
15 268.6126691334
24 261.3812895331
25 246.5393704907
31 229.1303514745
51 215.2174799356
56 210.3419544623
58 209.6819078941
63 193.1740645044
69 172.4350534632
76 169.8843637511
88 144.9217872154
97 132.3320313848
98 131.6759050594
102 115.9645758126
110 99.8446678049
120 93.7044767547
137 76.2443571685
151 57.2992241469
170 52.9305212600
184 50.4371398521
187 32.2771807031
193 13.9709733795
211 13.6439886441
230 7.0168246145
242 1.9490411234
270 1.0825842746
278 0.0000000000
200352 264.1099008437
evaluations raw_y
1 590.6190771175
4 548.3975717299
13 495.1039041443
29 489.3028256066
37 465.9218755213
38 438.6377670473
50 431.3878340734
52 410.4682751166
53 351.4226416067
57 348.4866713912
61 331.0115278321
69 292.5281665211
