evaluations raw_y
1 1453827.7721746499
2 1233032.2436393583
3 1129469.4776306311
16 1117294.6727417377
19 1043369.3818695721
20 945777.9892688066
26 553392.9003004913
42 388145.1552359737
51 305957.4373178819
57 125289.1870097534
65 72855.9988496899
120 59481.7369392300
130 48565.6748087242
135 26008.3062220486
188 16626.3118340049
193 1721.5893696065
206 893.0778016776
220 727.8303528075
230 487.9129181480
419 446.1041260648
427 408.1146449540
501 394.3019784174
601 346.9843029701
664 331.3807533747
674 287.7189498308
687 269.8100743161
700 242.9831172001
710 229.7212513823
797 215.7539124634
827 214.5663159249
896 213.7207105660
929 213.0815153228
969 182.9400079900
1013 177.1733409682
1052 163.4956582849
1061 157.2946128390
1080 134.3283504967
1093 129.3004643827
1120 123.4306536897
1121 121.3565806949
1215 121.1582336568
1220 118.4011615466
1232 118.1000019656
1237 113.2855686821
1272 112.7823447889
1275 99.5928823768
1289 97.2902007972
1300 95.2084692229
1313 90.9910934056
1322 89.6823203851
1393 86.8655180986
1395 77.1831388550
1396 74.5068158213
1406 67.4680601263
1475 63.0748275941
1516 61.7890235741
1529 58.9873452937
1535 54.0223031380
1538 48.3525331833
1579 47.6070024783
1742 47.3072085761
1768 46.6496055864
1773 44.5683340175
1778 43.5162729006
1790 43.0331916803
1811 42.8462892889
1815 42.8451442812
1819 41.0182526433
1826 40.7115324171
1829 40.6470348670
1844 39.1648084232
1845 38.7316712261
1847 36.7848510099
1849 32.3122269389
1872 29.0755645850
1894 27.4366916787
1903 26.4117269245
1917 22.0285271906
2049 21.6475030359
2068 21.3251373386
2087 16.2457863627
2148 14.3468327700
2156 12.8331175395
2165 12.3417766484
2186 11.9818801539
2207 11.1407163175
2313 10.9411533726
2412 10.6367817134
2428 9.3667718558
2446 8.4372322391
2449 8.3801789080
2456 6.6637975273
2475 6.4119056841
2485 5.6592783498
2517 4.7857588061
2522 4.5525491722
2535 4.2512458593
2555 3.8896926460
2621 3.5135734571
2735 3.1359199258
2739 3.1032627596
2741 2.9359638794
2766 2.6733753424
2810 2.1459472876
2868 2.0550034244
2873 1.8398506852
2896 1.6895220104
2901 1.4244268334
2913 1.3742604397
2930 1.1642146390
3004 0.9778189018
3044 0.9186000693
3071 0.9015843796
3076 0.8624173980
3081 0.8541802349
3091 0.7825014919
3095 0.6560373349
3113 0.5860283189
3144 0.4756333470
3186 0.4072713401
3295 0.3771902940
3388 0.3668600404
3397 0.3634468861
3406 0.3158203791
3427 0.2692977928
3438 0.2494555004
3455 0.2317796206
3520 0.2161068868
3597 0.2147927252
3609 0.2106449822
3615 0.1779558145
3635 0.1692841757
3647 0.1644251842
3663 0.1566202351
3679 0.1480456900
3700 0.1474630665
3701 0.1461710370
3717 0.1423928726
3725 0.1393754049
3729 0.1350858588
3742 0.1283875564
3758 0.1055909369
3810 0.1006640000
3815 0.0925150491
3860 0.0887844311
3874 0.0809005769
3892 0.0802118163
3893 0.0797253706
3902 0.0791337900
3905 0.0783734963
3906 0.0780450617
3916 0.0615115549
3931 0.0465584124
3962 0.0437710234
4031 0.0432850131
4042 0.0428954505
4053 0.0416959368
4066 0.0400829952
4079 0.0395676081
4138 0.0370348663
4211 0.0361155614
4233 0.0264426726
4334 0.0247440183
4341 0.0239576336
4350 0.0232915468
4360 0.0231677380
4368 0.0231028368
4369 0.0229628774
4371 0.0227688835
4374 0.0195627224
4380 0.0192062265
4385 0.0174069325
4395 0.0167785549
4410 0.0150172788
4496 0.0148069961
4540 0.0113275106
4581 0.0112633600
4601 0.0092773489
4620 0.0088205378
4622 0.0087532771
4634 0.0081415321
4721 0.0069065729
4840 0.0062117427
4848 0.0059456422
4852 0.0055746500
4864 0.0050776530
4866 0.0050081441
4909 0.0049634548
4923 0.0047693302
4936 0.0047491121
4939 0.0047217850
4943 0.0046742843
4948 0.0046339171
4957 0.0041112008
4974 0.0033430821
5001 0.0030960605
5035 0.0029868463
5068 0.0028369277
5154 0.0025460927
5173 0.0025281139
5181 0.0024749447
5187 0.0024325418
5211 0.0023137588
5222 0.0020279205
5252 0.0017996980
5261 0.0016660475
5387 0.0016407065
5396 0.0014365841
5433 0.0013294190
5460 0.0013132031
5466 0.0012764442
5498 0.0011073700
5513 0.0011016949
5537 0.0010738243
5547 0.0010028076
5565 0.0009235764
5635 0.0008884479
5642 0.0008757569
5652 0.0008657584
5663 0.0006973206
5672 0.0006705445
5696 0.0005202037
5698 0.0005051439
5705 0.0004614045
5710 0.0004522942
5899 0.0003221193
5918 0.0002781225
5933 0.0002610357
5940 0.0002588644
6010 0.0002216438
6011 0.0001558830
6015 0.0001510328
6036 0.0001443465
6105 0.0001341745
6110 0.0001331709
6111 0.0000981839
6180 0.0000867512
6182 0.0000836158
6199 0.0000765467
6249 0.0000578999
6279 0.0000526919
6295 0.0000491244
6400 0.0000389877
6525 0.0000367791
6534 0.0000344252
6546 0.0000338500
6547 0.0000328875
6554 0.0000290832
6585 0.0000282509
6587 0.0000255173
6592 0.0000236889
6607 0.0000224330
6640 0.0000199669
6657 0.0000161529
6674 0.0000158062
6696 0.0000151537
6735 0.0000148086
6814 0.0000140916
6819 0.0000113585
6836 0.0000112929
6848 0.0000106400
6859 0.0000085812
6885 0.0000083838
6962 0.0000075222
6984 0.0000066515
6999 0.0000058752
7011 0.0000053175
7012 0.0000052897
7029 0.0000044163
7091 0.0000039795
7093 0.0000037034
7167 0.0000036739
7172 0.0000031819
7179 0.0000031131
7183 0.0000029662
7204 0.0000028864
7214 0.0000027096
7218 0.0000024560
7249 0.0000022910
7275 0.0000017867
7331 0.0000017605
7335 0.0000017378
7341 0.0000017267
7348 0.0000017254
7350 0.0000016965
7357 0.0000016078
7390 0.0000015506
7437 0.0000012553
7452 0.0000011176
7510 0.0000009998
7517 0.0000009496
7587 0.0000009316
7616 0.0000009154
7638 0.0000008889
7642 0.0000008831
7652 0.0000008162
7670 0.0000008018
7710 0.0000007947
7714 0.0000006379
7741 0.0000006325
7779 0.0000006050
7792 0.0000005544
7816 0.0000005430
7831 0.0000005304
7837 0.0000005281
7851 0.0000004672
7863 0.0000004670
7872 0.0000004609
7876 0.0000004562
7880 0.0000004451
7885 0.0000004394
7903 0.0000004348
7909 0.0000003998
8063 0.0000003454
8106 0.0000003441
8147 0.0000003178
8155 0.0000003023
8156 0.0000002999
8230 0.0000002935
8288 0.0000002853
8298 0.0000002566
8331 0.0000002520
8352 0.0000002359
8381 0.0000002306
8384 0.0000002062
8454 0.0000001973
8464 0.0000001963
8467 0.0000001954
8476 0.0000001941
8478 0.0000001871
8496 0.0000001801
8536 0.0000001728
8553 0.0000001702
8571 0.0000001630
8588 0.0000001384
8617 0.0000001293
8631 0.0000001272
8636 0.0000001096
8653 0.0000001079
8669 0.0000001059
8726 0.0000000998
8732 0.0000000970
8752 0.0000000853
8822 0.0000000816
8860 0.0000000805
8877 0.0000000723
8964 0.0000000682
8974 0.0000000669
8993 0.0000000604
8997 0.0000000554
9018 0.0000000546
9023 0.0000000540
9028 0.0000000536
9063 0.0000000517
9083 0.0000000455
9106 0.0000000409
9163 0.0000000355
9169 0.0000000346
9175 0.0000000317
9279 0.0000000311
9284 0.0000000308
9340 0.0000000307
9343 0.0000000301
9355 0.0000000283
9376 0.0000000280
9399 0.0000000252
9414 0.0000000240
9482 0.0000000216
9509 0.0000000209
9514 0.0000000207
9531 0.0000000203
9542 0.0000000203
9557 0.0000000198
9564 0.0000000190
9628 0.0000000177
9637 0.0000000174
9645 0.0000000167
9707 0.0000000154
9711 0.0000000150
9749 0.0000000136
9759 0.0000000133
9795 0.0000000117
9845 0.0000000113
9854 0.0000000111
9882 0.0000000110
9886 0.0000000099
9902 0.0000000087
9914 0.0000000064
9968 0.0000000059
9997 0.0000000056
10015 0.0000000053
10083 0.0000000051
10115 0.0000000044
10120 0.0000000037
10147 0.0000000036
10156 0.0000000033
10157 0.0000000032
10159 0.0000000032
10181 0.0000000031
10211 0.0000000030
10222 0.0000000029
10252 0.0000000027
10288 0.0000000021
10357 0.0000000020
10372 0.0000000018
10457 0.0000000018
10474 0.0000000017
10489 0.0000000014
10504 0.0000000013
10513 0.0000000012
10573 0.0000000012
10597 0.0000000011
10610 0.0000000011
10631 0.0000000008
10635 0.0000000007
10683 0.0000000007
10717 0.0000000007
10753 0.0000000006
10772 0.0000000003
10881 0.0000000003
10907 0.0000000003
10974 0.0000000003
11012 0.0000000003
11043 0.0000000003
11057 0.0000000002
11194 0.0000000002
11266 0.0000000002
11283 0.0000000002
11284 0.0000000001
11301 0.0000000001
11306 0.0000000001
11309 0.0000000001
11322 0.0000000001
11332 0.0000000001
11389 0.0000000001
11443 0.0000000001
11504 0.0000000001
11520 0.0000000001
11588 0.0000000001
11620 0.0000000001
11634 0.0000000000
11651 0.0000000000
11714 0.0000000000
11732 0.0000000000
11744 0.0000000000
11756 0.0000000000
11807 0.0000000000
11813 0.0000000000
11866 0.0000000000
11868 0.0000000000
11870 0.0000000000
11895 0.0000000000
11900 0.0000000000
11905 0.0000000000
11922 0.0000000000
12001 0.0000000000
12065 0.0000000000
12071 0.0000000000
12342 0.0000000000
12362 0.0000000000
12380 0.0000000000
12471 0.0000000000
12482 0.0000000000
12484 0.0000000000
12495 0.0000000000
12531 0.0000000000
12537 0.0000000000
12564 0.0000000000
12618 0.0000000000
12619 0.0000000000
12748 0.0000000000
12755 0.0000000000
12775 0.0000000000
12781 0.0000000000
12783 0.0000000000
12798 0.0000000000
12816 0.0000000000
12882 0.0000000000
12922 0.0000000000
12927 0.0000000000
12960 0.0000000000
12975 0.0000000000
12990 0.0000000000
13083 0.0000000000
13098 0.0000000000
13104 0.0000000000
13109 0.0000000000
13146 0.0000000000
13148 0.0000000000
13172 0.0000000000
13195 0.0000000000
13208 0.0000000000
13222 0.0000000000
13242 0.0000000000
13248 0.0000000000
13289 0.0000000000
13294 0.0000000000
13302 0.0000000000
13457 0.0000000000
13477 0.0000000000
13481 0.0000000000
13544 0.0000000000
13553 0.0000000000
13570 0.0000000000
13889 0.0000000000
13918 0.0000000000
13961 0.0000000000
13969 0.0000000000
13997 0.0000000000
14015 0.0000000000
14028 0.0000000000
14152 0.0000000000
14163 0.0000000000
14173 0.0000000000
14229 0.0000000000
14418 0.0000000000
14518 0.0000000000
14586 0.0000000000
14600 0.0000000000
14603 0.0000000000
14649 0.0000000000
14665 0.0000000000
14705 0.0000000000
14718 0.0000000000
14886 0.0000000000
37510 0.0000000000
37546 0.0000000000
37661 0.0000000000
37935 0.0000000000
37979 0.0000000000
38223 0.0000000000
200172 419337720591.7604370117
evaluations raw_y
1 1451806.3347411209
3 1028858.9738223653
4 976611.9709429642
9 670899.3689257099
30 591295.3509763841
37 545844.6724374354
40 484768.9113063951
42 433214.7911658764
56 352388.1019051569
61 328150.9677068309
63 306601.2201457338
73 305913.2433567488
79 257594.9572786296
97 229112.8174102062
100 189211.0545918680
110 178999.9302660215
118 138965.6695802887
124 96153.8557126164
143 90037.3647640515
161 56099.8945900892
180 30305.9736449468
186 16332.3384067016
219 3730.7581590213
247 717.0838553418
288 658.6608814236
397 448.9069340069
607 414.0708708550
622 399.3713751440
639 391.0167340328
657 362.0277511364
666 344.7000000452
671 296.0459830535
673 242.5208885457
680 239.5617356461
681 230.8434895592
689 222.2959206572
699 215.0703718522
702 152.3142762598
839 140.8164284408
876 119.9621956937
896 112.7291926989
915 108.1915299731
928 100.0432629130
970 90.2056907049
1048 88.5999396416
1058 85.2582217968
1078 84.0873131180
1090 73.3518478093
1130 71.5090349274
1135 69.4083930358
1142 65.9187852529
1163 64.6057582731
1165 62.4456592041
1209 58.8159972606
1220 58.3357195157
1222 55.8423256160
1226 53.6245222163
1243 52.9360469806
1249 51.1513924086
1251 49.4645391488
1281 43.4899125096
1352 42.7185701953
1362 41.1950538962
1388 38.3877178877
1399 35.4691400909
1405 31.7525241029
1425 31.1412293535
1437 29.3254109276
1488 24.1024057500
1508 23.6792833401
1565 23.5814717050
1634 18.5704182091
1639 14.2488055160
1708 12.9390386169
1736 12.6109414349
1771 12.5536491321
1808 12.2046853153
1827 10.4159818457
1865 10.2515596330
1880 9.2907869196
1887 7.2335658147
1896 7.1570459650
1924 6.9116707855
1932 5.6915652653
2056 5.2904992116
2087 5.2500599791
2092 4.1211048074
2128 3.9653652212
2131 3.9400784231
2143 3.9318242802
2152 3.7153036328
2163 3.6222520097
2172 3.5084741744
2202 3.4442232343
2212 3.3580803687
2215 3.2850389936
2218 2.8742210139
2220 2.7393224699
2239 2.5377331499
2321 2.3581898096
2329 2.3269565987
2440 2.2918349678
2498 2.2576711865
2502 2.2497815238
2511 2.0479984019
2517 1.5861441342
2595 1.5070314276
2600 1.4815470148
2609 1.4562557346
2691 1.4266934613
2716 1.4032572405
2722 1.3975511955
2728 1.3809217773
2730 1.3749070794
2739 1.3685071843
2748 1.3645430437
2750 1.3194233363
2756 1.2833781127
2780 1.2470062446
2782 1.2435605205
2787 1.0984325745
2815 1.0821074707
2820 0.9913035424
2957 0.9706443886
2965 0.9490984470
2969 0.9250933922
2978 0.9178442821
2981 0.8593158964
2992 0.8327905190
2993 0.8251160440
3001 0.8232996615
3015 0.7461195635
3061 0.7261883267
3087 0.7197112072
3092 0.7193146647
3106 0.7151633866
3111 0.6670330656
3134 0.6356288934
3150 0.5297770132
3168 0.5081233722
3178 0.4613590556
3200 0.4571823723
3203 0.4452001095
3209 0.4096620906
3213 0.3858609553
3223 0.2650419200
3233 0.2544690569
3355 0.2440934365
3475 0.2262483105
3488 0.2075091810
3501 0.1999356584
3502 0.1773229225
3504 0.1485555350
3511 0.1473262521
3513 0.1447081406
3533 0.1441018985
3606 0.1432416477
3628 0.1030370648
3687 0.0935500986
3737 0.0907040578
3755 0.0802551487
3806 0.0652471413
3823 0.0515537891
3834 0.0426792476
4041 0.0420990267
4051 0.0420529780
4058 0.0411720224
4084 0.0348472257
4101 0.0324749639
4162 0.0272545707
4175 0.0269691550
4176 0.0246889240
4207 0.0230192365
4224 0.0221967343
4227 0.0170678611
4366 0.0152107479
4474 0.0150839647
4483 0.0147139678
4499 0.0141649812
4518 0.0114045038
4586 0.0106261663
4599 0.0101596265
4627 0.0089515072
4719 0.0087565805
4755 0.0083049965
4789 0.0079498755
4839 0.0072021946
4873 0.0051674159
5012 0.0050127667
5015 0.0049400428
5021 0.0048392663
5022 0.0047066370
5023 0.0046677496
5028 0.0046339111
5034 0.0046204416
5056 0.0045500925
5094 0.0041078809
5097 0.0034995257
5098 0.0027064239
5129 0.0024573361
5223 0.0015097078
5245 0.0014496102
5268 0.0014230778
5367 0.0013339993
5378 0.0013061278
5412 0.0010112490
5462 0.0010004345
5488 0.0009996618
5497 0.0008679798
5518 0.0007871924
5529 0.0006974967
5687 0.0006073495
5690 0.0006049179
5691 0.0005989511
5719 0.0005938586
5725 0.0005868916
5726 0.0005549374
5751 0.0005245995
5761 0.0005030747
5791 0.0005007866
5822 0.0003789806
5889 0.0003614169
5894 0.0003058325
5906 0.0002749851
5944 0.0002694846
5950 0.0002650228
6093 0.0002646574
6095 0.0002517143
6097 0.0002454850
6105 0.0001740217
6130 0.0001514251
6201 0.0001508289
6237 0.0001485487
6242 0.0001332475
6280 0.0001201997
6412 0.0001176623
6414 0.0001018529
6441 0.0000896429
6446 0.0000880654
6475 0.0000820394
6538 0.0000783055
6543 0.0000766895
6585 0.0000743337
6599 0.0000675187
6646 0.0000618844
6651 0.0000602331
6679 0.0000564133
6693 0.0000544686
6735 0.0000541087
6752 0.0000471662
6758 0.0000438605
6780 0.0000324318
6809 0.0000323369
6925 0.0000309224
6950 0.0000309064
6962 0.0000305234
6963 0.0000301835
6967 0.0000297565
6969 0.0000296757
6971 0.0000293735
6983 0.0000291469
6985 0.0000287782
6989 0.0000282493
6991 0.0000281270
6999 0.0000274094
7029 0.0000267496
7123 0.0000249489
7127 0.0000221862
7205 0.0000199604
7296 0.0000174766
7306 0.0000158385
7310 0.0000158352
7353 0.0000158190
7370 0.0000157269
7372 0.0000156839
7384 0.0000113843
7464 0.0000086625
7574 0.0000086061
7594 0.0000078386
7598 0.0000072240
7635 0.0000069494
7651 0.0000064372
7677 0.0000057738
7729 0.0000057010
7741 0.0000056621
7742 0.0000048119
7797 0.0000047899
7802 0.0000045937
7803 0.0000036964
7823 0.0000036718
7930 0.0000033580
7950 0.0000033477
7955 0.0000033450
7958 0.0000027038
7975 0.0000025164
8008 0.0000020371
8017 0.0000018378
8042 0.0000017208
8077 0.0000013416
8112 0.0000013091
8283 0.0000009492
8344 0.0000009301
8347 0.0000009181
8371 0.0000009036
8461 0.0000008704
8553 0.0000006289
8621 0.0000005790
8629 0.0000005008
8688 0.0000004873
8695 0.0000004746
8703 0.0000004594
8715 0.0000004564
8755 0.0000004518
8777 0.0000003980
8794 0.0000003740
8808 0.0000003229
8818 0.0000003214
8825 0.0000002864
8827 0.0000002746
8874 0.0000002448
8888 0.0000002089
8962 0.0000001904
9073 0.0000001887
9088 0.0000001844
9094 0.0000001837
9106 0.0000001101
9229 0.0000001060
9236 0.0000001031
9244 0.0000001009
9254 0.0000000999
9261 0.0000000971
9263 0.0000000911
9294 0.0000000909
9333 0.0000000901
9334 0.0000000625
9364 0.0000000599
9382 0.0000000563
9386 0.0000000560
9447 0.0000000537
9466 0.0000000526
9486 0.0000000489
9500 0.0000000397
9508 0.0000000329
9519 0.0000000328
9530 0.0000000314
9550 0.0000000288
9613 0.0000000278
9678 0.0000000242
9705 0.0000000237
9732 0.0000000235
9741 0.0000000229
9743 0.0000000218
9799 0.0000000196
9813 0.0000000193
9828 0.0000000187
9842 0.0000000158
9873 0.0000000152
9906 0.0000000152
9917 0.0000000138
9923 0.0000000126
9948 0.0000000114
9952 0.0000000114
9961 0.0000000114
10003 0.0000000108
10101 0.0000000102
10130 0.0000000077
10153 0.0000000060
10178 0.0000000059
10196 0.0000000059
10229 0.0000000048
10295 0.0000000036
10297 0.0000000033
10298 0.0000000031
10412 0.0000000028
10636 0.0000000024
10696 0.0000000024
10704 0.0000000023
10707 0.0000000022
10722 0.0000000018
10757 0.0000000017
10771 0.0000000016
10782 0.0000000016
10789 0.0000000015
10800 0.0000000014
10812 0.0000000014
10822 0.0000000014
10834 0.0000000013
10874 0.0000000012
10886 0.0000000012
10900 0.0000000011
11042 0.0000000009
11069 0.0000000008
11106 0.0000000007
11120 0.0000000007
11128 0.0000000006
11194 0.0000000006
11207 0.0000000006
11212 0.0000000006
11223 0.0000000006
11242 0.0000000006
11255 0.0000000006
11256 0.0000000005
11279 0.0000000005
11322 0.0000000005
11491 0.0000000004
11494 0.0000000004
11497 0.0000000003
11513 0.0000000003
11518 0.0000000003
11559 0.0000000003
11643 0.0000000003
11663 0.0000000003
11688 0.0000000003
11703 0.0000000002
11707 0.0000000002
11729 0.0000000002
11739 0.0000000002
11747 0.0000000002
11767 0.0000000002
11815 0.0000000002
11829 0.0000000001
11839 0.0000000001
11865 0.0000000001
11880 0.0000000001
11883 0.0000000001
11884 0.0000000001
12014 0.0000000001
12023 0.0000000001
12030 0.0000000001
12038 0.0000000001
12051 0.0000000001
12140 0.0000000001
12158 0.0000000001
12171 0.0000000001
12186 0.0000000001
12208 0.0000000000
12245 0.0000000000
12262 0.0000000000
12267 0.0000000000
