evaluations raw_y
1 4821.9273521310
2 2635.9952173894
19 1729.0526649538
35 1544.4127953866
37 1429.3697499952
60 1245.7280906457
80 1204.7731139613
129 1030.8592873904
141 984.5491152812
166 760.6205259475
188 661.9785469088
213 570.3782804439
232 533.0209977149
284 514.2454521733
345 481.3416512005
387 389.5482040660
462 370.1403960694
466 351.3201073480
470 327.5525359292
526 320.8729786537
547 315.7030610672
567 270.9576262088
588 237.1526785447
605 216.7222402144
648 206.7256683624
767 199.7484356805
781 191.4373908946
795 178.7661500570
798 133.7270223288
863 132.5086011654
886 127.7243708027
916 127.0308263459
919 117.3729102673
932 116.8249103568
934 111.2219487677
960 107.0366864101
961 104.3162123794
962 103.6405830064
971 102.0355721301
1016 99.0775664977
1164 95.3672236326
1165 93.9015563841
1175 84.5805888839
1197 74.8055672740
1211 69.9773548924
1370 64.0520135070
1407 59.8940802130
1535 58.5233763820
1565 56.5589492526
1585 55.3760078194
1587 52.3708737699
1600 46.1929066412
1664 45.6252673607
1670 40.9186798394
1693 40.7224353447
1697 34.9682148646
1895 33.6027500520
1940 31.9206889737
2071 31.8095302344
2104 30.7940964160
2116 30.1314195515
2140 28.1873184732
2147 27.9946043070
2158 27.7183972487
2249 27.3800221295
2271 26.8472004985
2276 26.3151403884
2286 25.1897028603
8077 20.6155096373
8299 19.1267632639
8355 17.7202386449
8674 17.0830706188
8690 15.7948767427
8816 15.2966477384
8848 15.1017436298
8868 14.8485196921
8889 14.6399377530
8908 14.2458227693
8955 14.0135647345
9026 13.1823392769
9051 12.9668980462
9056 11.9761825311
9171 11.6699738276
9227 11.5290442171
9259 11.1497087643
9282 11.0448217255
9310 10.7780887936
9408 10.2000975582
9486 9.6835422382
9530 9.4877848474
9542 8.5582138553
9591 8.5497240923
9595 8.4926356289
9671 7.5671682055
9770 7.2323970747
9838 6.7591355348
9934 6.6455912121
10178 6.6194837070
10187 6.5761561402
10253 6.3145134070
10302 6.3113921316
10317 6.0135871610
10402 5.9454617901
10478 5.7330274238
10551 5.4323804506
10863 5.3134634409
10927 5.2812625010
10942 5.2231512877
11025 5.1426222083
11076 5.1380557121
11101 5.1128444604
11548 5.0766206538
11685 5.0751882497
11731 5.0013623373
11845 4.9909465403
11949 4.9900586089
12190 4.9766247490
12526 4.9761580223
12661 4.9759565693
12715 4.9562907690
12763 4.9521856535
12865 4.9283082042
28257 4.9016032148
28478 4.7941625869
28494 4.7889679268
28860 4.7690635745
29038 4.7240281262
29275 4.7222430519
29845 4.6465375085
30057 4.5959784218
30614 4.5610407362
31599 4.5563464751
31672 4.5488945618
31692 4.5428043844
31914 4.5061111446
33427 4.5001871387
33705 4.4959640441
33762 4.4845215087
34522 4.4823109687
36944 4.4822982872
137217 3.9953760818
138525 3.8668111272
139354 3.0619039733
142678 2.4156432002
146760 2.1410057833
150734 1.9683795739
155058 1.8511322772
160268 1.7965549001
161388 1.7748606413
163510 1.7548911334
165101 1.7373751124
165268 1.7359171701
167306 1.7219645519
168108 1.7218173924
168123 1.7162323024
168223 1.7066501529
168572 1.6847906442
168871 1.6625157482
171140 1.6582894203
172139 1.6582653072
172967 1.6483856095
175313 1.6468931268
175355 1.6433043283
175679 1.6243484864
180335 1.6152215890
372395 1.3848713860
387393 1.0032163260
387750 0.9965759643
391723 0.9760416267
392910 0.8499247632
394403 0.7526950587
395879 0.7128639305
396223 0.5641836764
