evaluations raw_y
1 6705.0785627384
3 1743.0734651996
6 492.8763864049
7 169.7125445452
19 127.9104709479
25 67.4014390852
33 8.1900168737
83 3.9853050283
105 1.9841940998
146 1.0439133181
169 0.8315687694
194 0.4554595865
212 0.4446642676
214 0.3309881293
224 0.1913132797
232 0.1691263945
244 0.1166866807
269 0.0938625323
291 0.0934054780
294 0.0751169956
316 0.0614926785
338 0.0567537614
342 0.0485109274
346 0.0305603255
361 0.0300716687
382 0.0283207470
383 0.0279762566
405 0.0242682884
408 0.0227684225
417 0.0159162168
432 0.0126901953
474 0.0123285219
477 0.0118911171
478 0.0070278304
493 0.0056506241
498 0.0051741553
507 0.0040741194
530 0.0038225517
531 0.0024775707
537 0.0021207043
539 0.0021132177
545 0.0015552628
554 0.0006563816
595 0.0005874697
601 0.0003392516
615 0.0001792770
626 0.0001304022
632 0.0001230659
635 0.0001196045
640 0.0000466627
651 0.0000344903
652 0.0000320679
655 0.0000004773
722 0.0000002895
739 0.0000002056
745 0.0000001558
759 0.0000000371
774 0.0000000208
776 0.0000000098
790 0.0000000092
793 0.0000000089
804 0.0000000016
818 0.0000000007
837 0.0000000005
847 0.0000000004
888 0.0000000003
893 0.0000000002
904 0.0000000001
908 0.0000000000
913 0.0000000000
949 0.0000000000
952 0.0000000000
976 0.0000000000
982 0.0000000000
985 0.0000000000
991 0.0000000000
1019 0.0000000000
1020 0.0000000000
1036 0.0000000000
1051 0.0000000000
30072 0.0667513008
evaluations raw_y
1 47769.9251926419
4 9998.4554697285
8 1948.7386506202
16 785.5170407628
21 55.6551175994
116 12.6739239935
126 9.3756836159
129 5.8516999386
136 4.4567974396
166 4.0007270849
172 2.4657611261
182 2.0121039753
190 1.9470854991
196 1.6942921645
207 1.5940972620
216 1.4883005470
230 1.2963657052
238 1.0297241144
255 0.7604202065
309 0.7435884263
312 0.5761156916
330 0.5231610099
332 0.5007146136
345 0.4781240390
352 0.4505187129
363 0.3876916984
389 0.3386412037
394 0.3270271739
395 0.3214058375
406 0.3103359786
410 0.2862041499
419 0.2766629566
436 0.2682328395
437 0.2604605745
441 0.2262241147
446 0.2235642775
460 0.2145449137
468 0.2103698856
474 0.1861853518
486 0.1510594615
494 0.1256826210
501 0.0929229186
507 0.0846520302
547 0.0752316362
568 0.0626474545
613 0.0615715603
618 0.0614856803
624 0.0493278212
631 0.0448329786
640 0.0377277653
651 0.0309121956
662 0.0297031857
663 0.0222101726
670 0.0121442170
710 0.0106400631
719 0.0102278769
722 0.0073264038
727 0.0048284258
730 0.0046283500
732 0.0044688271
749 0.0034938750
764 0.0031956686
783 0.0030315033
786 0.0025165692
789 0.0024839985
799 0.0016933797
813 0.0016566545
828 0.0016162265
832 0.0013331589
850 0.0012999775
856 0.0009452761
865 0.0006169386
870 0.0005313825
878 0.0004994990
882 0.0003733823
885 0.0000497634
930 0.0000345839
961 0.0000087025
988 0.0000048096
993 0.0000046820
995 0.0000013132
1023 0.0000008720
1025 0.0000008579
1032 0.0000004470
1034 0.0000001322
1059 0.0000000696
1067 0.0000000428
1092 0.0000000295
1093 0.0000000007
1103 0.0000000005
1178 0.0000000001
1211 0.0000000001
1225 0.0000000000
1275 0.0000000000
1298 0.0000000000
1308 0.0000000000
1310 0.0000000000
1312 0.0000000000
1319 0.0000000000
1325 0.0000000000
1327 0.0000000000
1329 0.0000000000
1353 0.0000000000
1367 0.0000000000
1368 0.0000000000
1408 0.0000000000
30037 0.0054488583
evaluations raw_y
1 244662.0575553034
2 4115.4533022055
5 2413.7991982347
6 1415.9475916080
13 521.3572663941
20 165.3721026543
32 162.2415224511
60 5.9765671118
621 5.9077654987
628 5.8801214427
633 5.8256864405
647 5.7599891138
653 5.7574246272
668 5.6725681158
685 5.5899419211
686 5.4044850132
689 5.3639680634
693 5.3248486938
696 5.1219193104
698 5.0616481089
707 5.0260793958
734 4.9983381016
743 4.9378336560
746 4.5732136893
750 4.3655246840
786 4.2297260655
799 4.1451233040
801 4.0042601825
879 3.9980150348
884 3.9785568480
899 3.9521270696
906 3.9520577624
921 3.9427522764
923 3.9073130824
933 3.8838469312
945 3.8615636135
956 3.8597434833
963 3.8149871867
980 3.7945375373
989 3.7915769588
990 3.7823977577
997 3.7779714415
1008 3.7365295336
1012 3.7187539135
1019 3.7172222327
1020 3.7088782730
1021 3.6969527830
1024 3.6857680264
1025 3.6630824039
1032 3.6105581902
1037 3.6099931783
1038 3.6044895507
1044 3.5894544342
1046 3.5499104245
1055 3.4979096892
1064 3.3895681120
1070 3.3411010842
1072 3.1494709175
1132 3.0774252996
1135 3.0753068426
1145 3.0536651009
1146 3.0511187879
1168 3.0304441509
1174 3.0062765192
1184 2.9723330631
1195 2.9630283512
1206 2.8620131633
1213 2.8611459710
1236 2.8481356155
1240 2.8313248544
1249 2.8104387568
1254 2.7995242785
1256 2.7878371998
1265 2.7403921103
1267 2.7204881635
1278 2.7000150072
1285 2.6887149177
1294 2.6511627377
1309 2.5929075920
1329 2.5532632439
1333 2.4381372950
1373 2.4006191412
1381 2.3566142150
1422 2.3119858368
1440 2.2867699631
1463 2.2402549981
1464 2.2169566813
1469 2.1949089859
1473 2.1876648485
1477 2.1564049604
1493 2.1531308929
1505 2.1191968251
1511 2.1190603797
1515 2.1170648361
1530 2.1128414504
1534 2.0941375286
1539 2.0761309861
1541 2.0698982687
1544 2.0174081382
1607 2.0083610908
1611 1.9924202596
1615 1.9923471483
1620 1.9752356000
1621 1.9630026410
1627 1.9279421461
1631 1.9215510863
1636 1.8885559014
1637 1.8819301175
1641 1.8203607568
1646 1.7809013527
1647 1.7684988905
1651 1.7135418558
1660 1.5984476403
1681 1.5859457050
1699 1.5368140479
1702 1.4708202138
1709 1.3345722564
1720 1.3179397475
1725 1.2553882738
1765 1.2203051647
1769 1.2156302012
1789 1.2107465796
1794 1.1771319836
1800 1.0837971440
1807 1.0711475412
1812 1.0684165441
1816 1.0452523334
1818 1.0007373081
1820 0.9121783487
1828 0.8873291394
1845 0.8684726932
1863 0.7877368459
1873 0.7658129829
1879 0.7073552265
1906 0.6980675859
1917 0.6916640580
1918 0.6865688503
1921 0.6651067071
1940 0.6557405983
1942 0.6196939790
1948 0.6177116243
1949 0.5876200361
1957 0.5861695058
1961 0.5845735744
1966 0.5815320263
1970 0.5728199254
1973 0.5374867156
1990 0.5169231170
1997 0.4947847001
2009 0.4616915453
2011 0.4409440715
2015 0.4147399131
2021 0.3626858668
2025 0.3183145282
2035 0.3021453007
2045 0.2895083026
2056 0.2171028615
2088 0.2154580367
2097 0.2052165792
2099 0.1719507575
2120 0.1419524643
2124 0.1376969142
2195 0.1353427119
2198 0.1318427525
2205 0.1274986264
2207 0.1227144560
2220 0.1113607493
2235 0.1016577353
2257 0.0942957612
2266 0.0928038470
2269 0.0895276928
2271 0.0894398735
2275 0.0840685660
2285 0.0730569669
2293 0.0647108820
2296 0.0644895562
2303 0.0554313809
2324 0.0546242768
2327 0.0531581368
2333 0.0337801244
2334 0.0331349486
2344 0.0096801968
2373 0.0075715224
2374 0.0070987976
2382 0.0025076727
2403 0.0021169440
2411 0.0006322436
2441 0.0001649384
2447 0.0001425490
2451 0.0000767402
2461 0.0000653046
2496 0.0000066446
2511 0.0000041361
2569 0.0000037731
2586 0.0000034764
2596 0.0000004274
2608 0.0000004235
2615 0.0000000349
2695 0.0000000029
2738 0.0000000017
2744 0.0000000004
2767 0.0000000003
2773 0.0000000003
2775 0.0000000002
2792 0.0000000000
2807 0.0000000000
2829 0.0000000000
2836 0.0000000000
2845 0.0000000000
2867 0.0000000000
2876 0.0000000000
2878 0.0000000000
2881 0.0000000000
2891 0.0000000000
2904 0.0000000000
2910 0.0000000000
2913 0.0000000000
2927 0.0000000000
7726 0.0000000000
7727 0.0000000000
12494 0.0000000000
12693 0.0000000000
30037 3.2859131738
evaluations raw_y
1 7426.1173930941
2 3033.3769532427
11 2589.9053794631
15 405.2203205155
30 282.2599658445
46 248.3322734153
59 196.3137799447
62 10.7922611234
108 10.5276435540
111 7.7993867604
125 6.8404026417
126 2.2372171459
131 2.1955089074
145 1.4700406800
167 1.3059453558
180 1.0768256612
185 1.0487023888
213 0.9888296142
250 0.9882541552
254 0.9443246895
260 0.9250054801
261 0.9079795368
262 0.8905871121
271 0.8567318011
280 0.8297070166
281 0.8176341466
289 0.7913978996
295 0.7618355079
296 0.6316983758
300 0.6300141367
316 0.4399613657
418 0.4320247421
419 0.4264431242
421 0.4058256433
441 0.3802534420
445 0.3659937940
460 0.3540361173
463 0.3523119037
464 0.3184406484
470 0.2698578803
477 0.2299433983
483 0.2122614753
493 0.1361897292
527 0.1284414647
532 0.1102063057
540 0.0999398299
576 0.0917775119
580 0.0856570677
590 0.0781940378
593 0.0650983910
601 0.0582567701
613 0.0529520427
623 0.0414190134
633 0.0214364811
673 0.0196184695
683 0.0191254146
698 0.0182304810
701 0.0167363358
706 0.0145803948
720 0.0042014667
753 0.0023023009
761 0.0018057490
781 0.0010255653
787 0.0005001695
794 0.0000804778
798 0.0000408095
804 0.0000219206
877 0.0000207929
878 0.0000181788
888 0.0000180991
891 0.0000113397
900 0.0000093725
926 0.0000063009
933 0.0000042121
941 0.0000035428
942 0.0000033553
943 0.0000006749
967 0.0000006695
973 0.0000000077
1040 0.0000000059
1047 0.0000000058
1048 0.0000000029
1052 0.0000000011
1102 0.0000000007
1118 0.0000000001
1133 0.0000000000
1161 0.0000000000
1175 0.0000000000
1212 0.0000000000
1215 0.0000000000
1219 0.0000000000
1241 0.0000000000
1261 0.0000000000
1289 0.0000000000
30107 0.0632302005
evaluations raw_y
1 3288.8286432527
9 2273.7497266698
10 1198.8042828662
11 761.6272084405
14 555.5455157678
29 285.3485564341
32 46.7932863419
46 11.7428530257
127 9.0597510267
129 3.9436176844
