evaluations raw_y
1 1152625.8315572352
2 723485.6829783402
5 721388.1393199170
6 426746.5667576952
8 163766.1344961720
43 150571.1550325970
54 55222.9535808703
81 52963.4803237287
90 40918.9958029767
97 39029.1205323106
98 18894.1899203164
216 5709.5627014092
293 3290.7510854989
330 2917.4896603887
341 2520.6440756210
353 1989.0712422579
369 1660.8088935689
395 1460.4801948400
397 1274.0849633869
402 551.7258208164
486 360.5133644104
494 248.0903728540
557 182.8020546693
571 123.6207707593
603 110.5399555852
653 108.2662009847
693 105.9735516870
696 102.3132711304
700 97.8195411951
702 65.1406493954
750 54.2283296369
813 50.5846057910
819 39.5886762094
914 39.5134580145
917 39.0511348852
921 35.9808712423
924 30.2507381321
971 28.3916116560
986 28.1469238233
991 27.7321745649
997 24.9639836184
1022 23.0722542136
1057 22.9050150169
1074 22.3792630595
1075 21.9185393551
1085 21.3452562543
1111 21.2840556881
1130 21.1727680369
1134 21.0497392802
1138 20.7767102769
1145 20.4343715886
1157 20.2996693490
1178 19.2544514768
1196 18.5182790523
1297 18.4000698179
1319 18.3625731251
1324 18.3166234306
1327 18.2201322729
1391 18.1106611882
1412 18.0793986840
1420 18.0745103686
1429 18.0531015454
1445 18.0445390982
1456 18.0170843188
1482 18.0006215349
1489 17.9760795131
1506 17.9616392177
1507 17.9436122151
1545 17.9264686971
1571 17.9038823132
1573 17.8986851832
1579 17.8855919255
1594 17.8663685324
1616 17.8649464767
1619 17.8497478209
1624 17.8197356779
1641 17.7898007697
1659 17.7611130593
1671 17.7487920051
1682 17.7366009798
1700 17.7291829893
1711 17.6903869501
1765 17.6598463046
1776 17.6571387581
1778 17.6382134187
1791 17.6376106328
1796 17.6096901470
1815 17.5722725626
1832 17.5665727723
1837 17.4984920015
1861 17.4280931921
1885 17.3873517602
1903 17.3596475813
1932 17.3190581725
1939 17.2972014952
1945 17.2841040141
1953 17.2715767760
1966 17.2578227074
1985 17.2301529808
1999 17.2250204043
2011 17.1874090580
2012 17.1720503463
2021 17.1514951164
2035 17.0837433365
2044 17.0563329762
2048 17.0508673635
2049 16.9968469225
2052 16.9842907701
2058 16.9662025936
2072 16.8909931066
2123 16.8448660229
2128 16.7432877423
2162 16.6646680778
2226 16.5464799108
2237 16.5189191598
2260 16.4389348674
2309 16.3725717802
2313 16.3693888384
2317 16.3619388574
2320 16.3409952723
2330 16.3372222002
2345 16.3232100621
2367 16.2530059293
2417 16.1286300674
2438 16.0838259113
2451 16.0539826692
2493 16.0351770324
2498 16.0220722155
2503 15.9817178405
2504 15.9815665566
2525 15.9765635760
2547 15.9697895469
2550 15.9209517826
2585 15.9118386914
2587 15.8995610595
2593 15.7924843301
2633 15.7574713347
2641 15.7493712941
2644 15.7415318154
2674 15.7283746756
2690 15.7076193500
2713 15.6987682363
2719 15.6762466536
2735 15.6730214771
2737 15.6591548099
2741 15.6407412697
2756 15.6366948437
2761 15.6268499268
2765 15.6059116527
2766 15.6021999649
2769 15.5934022962
2775 15.5839167897
2786 15.5323941731
2805 15.5279440753
2809 15.5076018693
2814 15.5068028533
2830 15.4921709934
2837 15.4500552146
2844 15.4500025098
2861 15.4217611695
2862 15.4009736193
2865 15.3843708680
2896 15.3779094816
2916 15.3431724411
2936 15.3334154198
2943 15.3208961559
2956 15.2986881443
2968 15.2693394658
2979 15.1540983341
2987 15.1196411513
3032 15.0937540966
3039 15.0562278346
3087 15.0342732535
3106 15.0184575182
3113 14.9746051613
3133 14.9167789933
3139 14.8581947801
3183 14.8295938864
3197 14.7857512417
3213 14.7571255433
3225 14.7343094613
3234 14.7187271767
3245 14.6194513675
3276 14.6046032620
3278 14.4441367716
3369 14.4372095882
3400 14.4154784744
3408 14.3263166357
3424 14.2444131965
3498 14.2365336373
3505 14.2208796962
3512 14.1948541624
3530 14.1694113278
3543 14.1609775107
3552 14.1351873582
3553 14.1039158045
3555 14.0620698448
3589 14.0579138016
3591 13.9890950461
3667 13.9606731753
3673 13.9060573638
3717 13.8993499917
3754 13.8904524493
3775 13.8793114876
3784 13.8702829432
3787 13.7999012871
3805 13.7969263501
3839 13.7694439019
3844 13.6968995218
3868 13.6862331499
3877 13.6598842419
3922 13.6309657292
3942 13.6273284082
3956 13.6261410730
3962 13.5891794469
3989 13.5866255006
4000 13.5677581175
4002 13.5383853475
4016 13.5177916139
4021 13.5074838087
4035 13.4419496244
4039 13.4105274697
4098 13.4042289782
4110 13.3678986896
4144 13.2826838626
4182 13.2697915727
4183 13.2534931293
4186 13.2150467469
4192 13.1944117871
4207 13.1792390697
4225 13.1710248735
4235 13.1167566535
4251 13.0865815940
4274 13.0413804564
4385 13.0074947135
4407 12.9368315493
4409 12.9366496662
4452 12.9157353542
4455 12.8822200215
4468 12.8032514361
4486 12.8023460859
4494 12.7732501625
4506 12.7476467965
4533 12.7334254723
4546 12.7170018498
4565 12.6436021414
4602 12.6379473769
4616 12.6222332748
4630 12.5826093015
4661 12.5673977968
4670 12.5296458712
4679 12.5284994536
4693 12.5168820625
4718 12.5086154010
4723 12.4772930609
4747 12.4647086195
4751 12.4608628609
4757 12.4132608818
4765 12.3818656416
4825 12.3723010384
4835 12.3535220604
4841 12.3036639714
4863 12.2873105767
4868 12.2866344465
4874 12.2653851417
4887 12.2440383110
4916 12.2133781997
4921 12.1973094785
4947 12.1254421894
4958 12.0593437000
4973 12.0345891862
4985 12.0249969346
5018 11.9251182466
5028 11.8780145775
5091 11.8562978507
5136 11.8263457834
5158 11.7492412966
5189 11.7299597618
5211 11.6363874204
5263 11.6288399253
5280 11.6059887702
5283 11.5607054512
5288 11.5516061943
5311 11.5486765746
5321 11.5465936473
5335 11.5380816562
5338 11.5240361230
5353 11.5069278344
5370 11.4997911126
5382 11.4632133752
5404 11.4187908680
5422 11.4151947379
5437 11.3784654211
5452 11.3647084810
5502 11.3522377079
5517 11.3141234915
5549 11.3112290743
5558 11.3074385434
5566 11.2990586489
5568 11.2901740610
5601 11.2634559823
5607 11.2590412045
5621 11.2314576388
5637 11.2227216733
5668 11.2103812795
5679 11.2017163606
5703 11.1400770092
5740 11.1114846144
5749 11.1019952224
5773 11.0688422010
5784 11.0476574290
5811 11.0305299163
5818 11.0018542113
5840 10.9827232852
5845 10.9415654245
5868 10.9405014858
5876 10.9396414976
5929 10.8964903401
5950 10.8793618293
5963 10.8729225196
5971 10.7896854306
6066 10.6911452055
6103 10.6184413769
6149 10.5898451145
6154 10.4949733265
6163 10.4794536539
6170 10.4781794545
6171 10.4654647381
6219 10.4363465552
6279 10.3364559482
6323 10.3127477853
6343 10.2222158620
6361 10.1949786159
6374 10.1832883849
6385 10.1488809509
6387 10.1484222521
6398 10.1472925603
6419 10.0909491983
6456 10.0645264773
6457 10.0519749764
6514 10.0405829998
6515 9.9808135159
6524 9.9551181396
6525 9.9324514315
6533 9.9140931467
6549 9.8944358021
6564 9.8313533136
6591 9.7302291195
6638 9.6782887106
6667 9.6670401754
6674 9.6381572348
6685 9.6285939388
6757 9.5980435091
6772 9.4444425440
6820 9.4420132892
6840 9.4395839072
6865 9.3624695017
6883 9.3506347097
6893 9.3020410448
6934 9.2843522038
6956 9.2723101942
6965 9.2439042542
6987 9.2364478860
6991 9.2266293665
6999 9.1772877640
7023 9.1608671465
7026 9.1332633169
7038 9.1239923641
7047 9.1118759877
7060 9.1085593221
7074 9.1003015466
7078 9.0798784937
7104 9.0043451740
7106 9.0006558832
7128 8.9443518076
7192 8.9394926160
7198 8.8643976486
7203 8.8521964154
7208 8.8485272546
7224 8.8235011385
7230 8.8155214718
7245 8.7774878582
7252 8.6986683709
7286 8.6836304125
7289 8.6643648787
7302 8.6605129823
7384 8.6187853555
7409 8.5898355581
7451 8.5538778950
7474 8.5343680661
7501 8.4897486924
7520 8.4645732720
7550 8.4591455857
7568 8.4053489494
7612 8.3928695549
7626 8.3561785273
7668 8.2845835187
7674 8.2093595625
7694 8.1969711607
7715 8.1866694795
7759 8.1110035178
7815 8.0843320049
7847 8.0062278502
7850 7.9974935155
7903 7.9621733898
7918 7.9564405348
7919 7.9433283007
7922 7.8822753007
7970 7.8747507364
7984 7.7989222806
7985 7.7835079934
8006 7.7772831059
8033 7.7072267364
8073 7.6987263198
8079 7.6633321352
8093 7.6382510561
8103 7.5685260957
8161 7.5682413357
8173 7.5492071623
8199 7.5426548931
8203 7.5183429388
8220 7.5117283984
8228 7.5107731181
8233 7.5065962135
8237 7.4848028925
8263 7.4552597504
8269 7.4005422958
8287 7.3942728321
8303 7.3139327098
8341 7.2979487250
8418 7.2894111074
8442 7.2823000503
8463 7.2811533587
8477 7.2065285615
8479 7.2026714568
8481 7.1982204461
8494 7.1845613002
8499 7.1771992050
8517 7.0969308109
8529 7.0817899801
8570 7.0287760223
8626 7.0103618956
8631 6.9577793443
8666 6.9524622266
8686 6.9300276688
8688 6.9054110203
8690 6.9028286999
8706 6.8984504532
8748 6.8974049779
8756 6.8432677054
8764 6.8415338763
8783 6.8395080295
8798 6.8103233824
8824 6.8017476178
8832 6.7827343574
8845 6.7267862327
8896 6.6758522125
8911 6.6022455550
8978 6.5961777239
8988 6.5908890217
8990 6.5535197081
9017 6.5234555762
9025 6.4848754628
9075 6.4492529809
9086 6.4249443412
9119 6.3478260434
9132 6.3425404750
9135 6.3213313038
9151 6.2951042510
9169 6.2942040300
9178 6.2350048481
9182 6.1895949501
9200 6.1885139432
9206 6.1513704659
9230 6.1375693417
9239 6.1054549837
9275 6.1000420356
9276 6.0798037021
9295 6.0557689255
9315 6.0369755900
9317 6.0279699584
9329 5.9976343849
9330 5.9893422873
9352 5.9280712216
9443 5.9176625969
9449 5.8814195808
9476 5.8013158777
9517 5.7789296514
9554 5.7610408852
9601 5.7358152656
9603 5.7307382031
9608 5.7294742607
9621 5.6833027475
9626 5.6800814828
9680 5.6562964615
9686 5.6548874160
9694 5.6424961545
9703 5.5987866310
9715 5.5972967508
9725 5.5790354703
9767 5.5443712033
9787 5.5429898457
9816 5.5302840539
9820 5.4834366712
9851 5.4714763355
9866 5.4462027352
9867 5.4346646738
9898 5.3995015821
9927 5.3960980607
9934 5.3957708576
9945 5.3807787294
9950 5.3579552674
9972 5.3403500506
9988 5.3147283479
10005 5.2884987831
10010 5.2809420490
10028 5.2479038768
10033 5.2300320620
10059 5.2270897414
10088 5.2237462499
10100 5.2004081984
10107 5.2001364763
10158 5.1756751027
10167 5.1405206426
10183 5.1328618527
10202 5.1189960634
10226 5.1092323674
10227 5.0852587761
10250 5.0661160117
10253 5.0380253855
10285 5.0256003175
10313 5.0251247548
10314 5.0167658616
10331 5.0099513276
10343 4.9833941543
10345 4.9595918226
10347 4.9521946206
10357 4.9279551941
10383 4.8529805700
10457 4.8263881241
10466 4.7927908092
10498 4.7605961239
10541 4.7596754368
10572 4.7436419153
10599 4.6753166751
10620 4.6431128840
10646 4.6299429534
10656 4.5680400267
